name,country,taxonomy,lat,lng
,,,,,
Agarwall Bina,,India ,Economics ,,
Nakao Takeo,Doshisha University ,Japan ,Economics ,32.8453598022461,-96.796989440918
Nakayama Shigeru,University of Tokyo ,Japan ,History of Science,35.7133331298828,139.762222290039
Nambu Noboru,Hokkaido University ,Japan ,Japanese History,43.5393257141113,142.437515258789
Nara Kazushige,Keio University ,Japan ,Political Science ,35.6491661071777,139.742782592773
Narita Koh,Akita University,Japan ,English Linguistics ,39.7423095703125,140.075103759766
Narrog  Heiko,Tohoku University ,Japan ,Japanese linguistics,38.9000015258789,140.682998657227
Nathan K.  Soosay,University of Malaya,Malaysia,International Relations ,24.03782081604,86.5390014648438
Nawa Katsuo,University of Tokyo ,Japan ,Cultural Anthropology ,35.7133331298828,139.762222290039
Neak Chandarith,Australian National University,,Political Science ,-35.2778091430664,149.126434326172
Nemoto Seiji,,Japan ,,,
Ng Chin-Keong,National University of Singapore,Singapore ,History ,1.29555594921112,103.776664733887
Ng Chin-Keong,National University of Singapore,Singapore ,Chinese Maritime History,1.29555594921112,103.776664733887
Ng Yung Hian,Harvard University,Korea ,History ,42.3734741210938,-71.1179580688477
Ng Chin-Keong,,Singapore ,,,
Ngo Thi Kim Dung,Southern Institute of Social Sciences,Vietnam ,Sociology ,29.9423809051514,-90.118896484375
Ngo Si Hong,National Center for Social Sciences and Humanities,Vietnam ,Archaeology ,34.0215530395508,-118.283737182617
Ngo Xuan Binh,Vietnam Academy of Social Sciences,Vietnam ,Economic History,16.1676921844482,107.839050292969
Ngo Thi Thanh Tam,Max Planck Institute for the Study of Religious and Ethnic Diversity,Germany ,Anthropology,50.7517890930176,5.84551000595093
,,,,,
Ngo Si Hong,National Center for Social Sciences and Humanities,Vietnam ,Archaeology ,34.0215530395508,-118.283737182617
Nguyen Thi Ngan Hoa,Southern Institute of Social Sciences,Vietnam ,Women's Studies ,29.9423809051514,-90.118896484375
Nguyen Thi Thanh Binh,Australian National University,Vietnam ,Anthropology,-35.2778091430664,149.126434326172
Nguyen Phu Thai,,Vietnam ,Economics ,,
Nguyen To Lan,Vietnam Academy of Social Sciences,Vietnam ,Linguistics ,16.1676921844482,107.839050292969
Nguyen Cong Thao,University of Hawaii at Manoa,Vietnam ,Anthropology,21.2982311248779,-157.817611694336
Nguyen Tien Duc,,Vietnam ,Library Science,,
Nguyen Nam,Harvard University,Vietnam ,Literature,42.3734741210938,-71.1179580688477
Nguyen Mai Hoa,Vietnam National University-Hanoi ,Vietnam ,English Education ,16.1676921844482,107.839050292969
Nguyen Van Tai,Ho Chi Minh City University,Vietnam ,Economics ,10.7782402038574,106.703239440918
Nguyen Quang Dung,National University of Singapore,Vietnam ,Anthropology,1.29555594921112,103.776664733887
Nguyen Huu Thong,Hue University,Vietnam ,Ethnology ,16.4666481018066,107.58470916748
Nguyen Viet Cuong,Southern Institute of Social Sciences,Vietnam ,Ethnology ,29.9423809051514,-90.118896484375
Nguyen Minh Hiep,University of Social Sciences and Humanities - Ho Chi Minh City,Vietnam ,Library Science,10.7782402038574,106.703239440918
Nguyen Thuy Dang Giao,Ho Chi Minh City University,Vietnam ,English Literature,10.7782402038574,106.703239440918
Nguyen Thi Van Anh,National Center for Social Sciences and Humanities,Vietnam ,Library Science,34.0215530395508,-118.283737182617
Nguyen Hoang Giang,University of Washington,,Sociology ,47.6543731689453,-122.304168701172
Nguyen Hoang Giang,,Vietnam ,Sociology ,,
Nguyen Tuan Cuong,Vietnam National University-Hanoi ,Vietnam ,Literature,16.1676921844482,107.839050292969
Nguyen Thanh Trung,University of  Virginia,Vietnam ,International Relations ,38.0413017272949,-78.5105361938477
Nguyen Thien Can,General Sciences Library - Ho Chi Minh City,Vietnam ,Library Science,10.7782402038574,106.703239440918
Nguyen Vu Hoang,University of Toronto ,Vietnam ,Cultural Anthropology ,43.6486892700195,-79.3854370117188
Nguyen Huy Chuong,Vietnam National University-Hanoi ,Vietnam ,Library Science,16.1676921844482,107.839050292969
Nguyen Thi Ngoc Phuong,University of Social Sciences and Humanities - Ho Chi Minh City,Vietnam ,Library Science,10.7782402038574,106.703239440918
Nguyen Viet Ha,National Center for Social Sciences and Humanities,Vietnam ,Library Science,34.0215530395508,-118.283737182617
Nguyen Kim Son,Vietnam National University-Hanoi ,Vietnam ,Literature,16.1676921844482,107.839050292969
Nguyen Giao Doi,Vietnam Academy of Social Sciences,Vietnam ,Archaeology ,16.1676921844482,107.839050292969
Nguyen Thi Bac,General Sciences Library - Ho Chi Minh City,Vietnam ,Library Science,10.7782402038574,106.703239440918
Nguyen Phuc Anh,Vietnam National University-Hanoi ,Vietnam ,Anthropology,16.1676921844482,107.839050292969
Nguyen Huynh Dat,University of Social Sciences and Humanities - Ho Chi Minh City,Vietnam ,English Education ,10.7782402038574,106.703239440918
Nguyen Thi Phuong Cham,Vietnam Academy of Social Sciences,Vietnam ,Cultural Studies,16.1676921844482,107.839050292969
Nguyen Thu Huong,Cantho University,Vietnam ,English Education ,10.0365295410156,105.787353515625
Nguyen Xuan Thanh,Harvard University,Vietnam ,Public Policy,42.3734741210938,-71.1179580688477
Nguyen Thi Kieu Thu,University of Social Sciences and Humanities - Ho Chi Minh City,Vietnam ,English Education ,10.7782402038574,106.703239440918
Nguyen Van Minh,,Vietnam ,Anthropology,,
Nguyen Thanh,Hue University,Vietnam ,Literature,16.4666481018066,107.58470916748
Nguyen Ngoc Tho,Vietnam National University - Ho Chi Minh City,Vietnam ,Anthropology,10.7782402038574,106.703239440918
Nguyen Ngoc Dung,Vietnam National University - Ho Chi Minh City,Vietnam ,History ,10.7782402038574,106.703239440918
Ni Yuping,Beijing Normal University ,China ,Economic History,39.9572219848633,116.362503051758
Ni Shixiong,Fudan University,China ,International Relations ,31.2988891601562,121.499168395996
Ni Xiaoquan,Chinese Academy of Social Sciences,China ,Russian Studies,34.0215530395508,-118.283737182617
Nie Lina,Harvard University,China ,Chinese History ,42.3734741210938,-71.1179580688477
Nimura Kazuo,,Japan ,,,
Nishida Yoshiaki,University of Tokyo ,Japan ,Economics ,35.7133331298828,139.762222290039
Nishimura Shuzo,Kyoto University,Japan ,Economics ,35.0262107849121,135.780838012695
Nishino Junya,Keio University ,Japan ,Law ,35.6491661071777,139.742782592773
Nishiwaki Yosaku,Keio University ,Japan ,Philosophy,35.6491661071777,139.742782592773
Nishiwaki Yosaku,Keio University ,Japan ,Philosophy,35.6491661071777,139.742782592773
Niu Ke,Peking University ,China ,History ,39.9897232055664,116.305274963379
Niu Dayong,Peking University ,China ,History ,39.9897232055664,116.305274963379
,,,,,
Niwa Haruki,Kyoto Sangyo University ,Japan ,Economics ,35.0002593994141,135.752365112305
Noda Kazuo,Japanese Research Institute ,Japan ,Business,56.9468727111816,-153.693481445312
Noguchi Takehiko,Kobe University ,Japan ,Japanese Literature ,34.7038803100586,135.222427368164
Noh Jooeun,University of Tokyo ,Japan ,Area Studies,35.7133331298828,139.762222290039
Noh Myung-shik,Hallym University ,Korea ,History ,32.8453598022461,-96.796989440918
Noh Tae-Don,Seoul National University ,Korea ,Korean History,37.4599990844727,126.949996948242
Nomura Toru (Vimala),,,,,
Nomura Toru,,Japan ,,,
Numazaki Ichiro,Tohoku University ,Japan ,Cultural Anthropology ,38.9000015258789,140.682998657227
Obayashi Taryo,University of Tokyo ,Japan ,Anthropology,35.7133331298828,139.762222290039
Ochi Masao,Osaka University,Japan ,Linguistics ,34.8191680908203,135.526672363281
Odajima Rie,Waseda University ,Japan ,Social Anthropology ,35.7092018127441,139.719329833984
Odaka Kunio,Sophia University ,Japan ,Sociology ,35.8216705322266,-79.8569793701172
Ogawa Yasuhiro,Hokkaido University ,Japan ,English Literature,43.5393257141113,142.437515258789
Oh Soo-kyung,Hanyang University,Korea ,Chinese Theatre,36.755867,126.30135
Oh Keum-sung,Seoul National University ,Korea ,Chinese History ,37.4599990844727,126.949996948242
Oh Soo-chang,Hallym University ,Korea ,Korean History,32.8453598022461,-96.796989440918
Ohe Akira,Keio University ,Japan ,Philosophy,35.6491661071777,139.742782592773
Ohkawa Kazushi,Hitotsubashi University ,Japan ,Agricultural Economics,32.8453598022461,-96.796989440918
Ohta Shuntaro,Keio University ,Japan ,American Political History,35.6491661071777,139.742782592773
Oka Toshiro,Hokkaido University ,Japan ,Japanese Political Thought,43.5393257141113,142.437515258789
Okada Kiyoshi,Seijo University,Japan ,Public Administration ,43.466667175293,-7.94999980926514
Okada Tae,Doshisha University ,Japan ,Linguistics ,32.8453598022461,-96.796989440918
Okamoto Masaaki,Kyoto University,Japan ,Area Studies,35.0262107849121,135.780838012695
Okamoto Koichi,Waseda University ,Japan ,History ,35.7092018127441,139.719329833984
Oki Yasushi,University of Tokyo ,Japan ,Literature,35.7133331298828,139.762222290039
Okuyama Toshimi,Akita University,Japan ,Comparative Literature,39.7423095703125,140.075103759766
Omori Ikuo,Waseda University ,Japan ,Economic History,35.7092018127441,139.719329833984
Ong Jin Hui,National University of Singapore,Singapore ,Sociology ,1.29555594921112,103.776664733887
Ono Tsuneo,Nagoya University ,Japan ,English Linguistics ,35.1506500244141,136.919036865234
Onozawa Masaki,Kyushu University ,Japan ,Cultural Anthropology ,33.6278381347656,130.422973632812
Onuma Yasuaki,University of Tokyo ,Japan ,Political Science ,35.7133331298828,139.762222290039
Osana Hiroaki,Keio University ,Japan ,Economics ,35.6491661071777,139.742782592773
Osawa Hajime,Toyo Bunko,Japan ,Area Studies,35.7312812805176,139.748565673828
Oshimo Shoichi,Doshisha University ,Japan ,American History,32.8453598022461,-96.796989440918
Oshio Shunsuke,Tokyo Metropolitan University ,Japan ,Sociology ,35.6899261474609,139.691757202148
Osuga Akira,Waseda University ,Japan ,Law ,35.7092018127441,139.719329833984
Osugi Takashi,Hitotsubashi University ,Japan ,Anthropology,32.8453598022461,-96.796989440918
Otsuki Makoto,,,Linguistics ,,
Ouchi Takashi,Tohoku University ,Japan ,Law ,38.9000015258789,140.682998657227
Ouyang Bin,Harvard University,China ,Political Science ,42.3734741210938,-71.1179580688477
Ouyang Xiaoli,Harvard University,China ,,42.3734741210938,-71.1179580688477
Pae Jae-shick,Seoul National University ,Korea ,International Law ,37.4599990844727,126.949996948242
Paik Nak-chung,,Korea ,,,
Pak Zai-sup,Korea University,Korea ,International Law ,36.4511566162109,127.861145019531
Pak Un Zong,Ewha Womans University,Korea ,Law ,32.8453598022461,-96.796989440918
Pak Soon-Yong,Yonsei University ,Korea ,Anthropology,32.8453598022461,-96.796989440918
Pan Shouyong,Minzu University of China,China ,Anthropology,36.5631141662598,103.735809326172
Pan Jiao,,China ,,,
Pan Rui,Fudan University,China ,International Relations ,31.2988891601562,121.499168395996
,,,,,
Pan Kuang-Che,Academia Sinica ,Taiwan,History ,40.5150184631348,20.8693809509277
Pan Tianshu,Fudan University,China ,Anthropology,31.2988891601562,121.499168395996
Pan Lü,University of Hong Kong ,Hong Kong ,Urban Studies,22.2841663360596,114.13777923584
Pang Pu,,,Philosophy,,
Park In Young,Harvard University,Korea ,Comparative Politics,42.3734741210938,-71.1179580688477
Park Nak-kyu,Seoul National University ,Korea ,Aesthetics,37.4599990844727,126.949996948242
Park JaeYeol,,Korea ,,,
Park Myung-lim,,Korea ,,,
Park Han-je,,Korea ,,,
Park Myung Lim,,,Political Science ,,
Park Sunyoung,POSTECH (Pohang University of Science and Technology),Korea ,History ,36.0378684997559,129.366271972656
Park Jung-ku,Sungkyunkwan University ,Korea ,Chinese Linguistics ,32.8453598022461,-96.796989440918
Park Sang-Soo,Korea University,Korea ,Chinese History ,36.4511566162109,127.861145019531
Park Jeong-hye,Academy of Korean Studies ,Korea ,Art History ,42.7923316955566,-77.3426208496094
Park Yunok,Kyungpook National University ,Korea ,Literature,32.9052963256836,-117.243560791016
Park Min-Su,Seoul National University ,Korea ,Chinese History ,37.4599990844727,126.949996948242
Park Hyungji,Yonsei University ,Korea ,English Literature,32.8453598022461,-96.796989440918
Park Tae-Gyun,Seoul National University ,Korea ,History ,37.4599990844727,126.949996948242
Park Jyoon-kyoo,Seoul National University ,Korea ,International Relations ,37.4599990844727,126.949996948242
Park Bong-sik,Seoul National University ,Korea ,International Relations ,37.4599990844727,126.949996948242
Park Il-Keun,Pusan National University ,Korea ,Political Science ,35.1779289245605,129.078475952148
Park Jae-yeol,Kyungpook National University ,Korea ,English Literature,32.9052963256836,-117.243560791016
Park Kwang-sun,Chonbuk National University ,Korea ,American History,35.7442817687988,127.166305541992
Park Myoung-Kyu,Chonbuk National University ,Korea ,Sociology ,35.7442817687988,127.166305541992
Peng Bangben,Sichuan University,China ,History ,30.6250896453857,102.697280883789
Peng Xiao-Yu,Peking University ,China ,Medieval History,39.9897232055664,116.305274963379
Peng Chunling,Chinese Academy of Social Sciences,China ,History ,34.0215530395508,-118.283737182617
Peng  Guoxiang,Tsinghua University ,China ,Chinese Philosophy,40,116.326667785645
Peng Gang,Tsinghua University ,China ,History ,40,116.326667785645
Pham Hoa Hiep,Hue University,Vietnam ,English Education ,16.4666481018066,107.58470916748
Pham Thi Thanh Huyen,National University of Singapore,Vietnam ,History ,1.29555594921112,103.776664733887
Phan Thi Hoang Yen,Vietnam National University-Hanoi ,Vietnam ,English Education ,16.1676921844482,107.839050292969
Phan Thi Kim Loan,University of Social Sciences and Humanities - Ho Chi Minh City,Vietnam ,English Education ,10.7782402038574,106.703239440918
Phan Dang,Hue University,Vietnam ,Vietnamese Literature ,16.4666481018066,107.58470916748
Phan Dang,Hue University,Vietnam ,Vietnamese Literature ,16.4666481018066,107.58470916748
Phan Dieu Ly,University of Washington,,Sociology ,47.6543731689453,-122.304168701172
Phung Minh Hieu,University of Hawaii at Manoa,,History ,21.2982311248779,-157.817611694336
Pongsawat Pitch,Chulalongkorn University,Thailand,Anthropology,32.8453598022461,-96.796989440918
Pongsudhirak Thitinan,London School of Economics and Political Science,Thailand,International Relations ,51.5138893127441,-0.116939999163151
Prachyaporn Vipas,Sirindhorn Anthropology Center (Thailand),,Anthropology,15.1306676864624,101.017799377441
Prasirtsuk Kitti,,Thailand,International Relations ,,
Pyo Kyo-Yeol,,Korea ,,,
Qi Wen-ying,Peking University ,China ,History ,39.9897232055664,116.305274963379
Qi Wen-ying,Peking University ,China ,History ,39.9897232055664,116.305274963379
Qi Liang,Fudan University,China ,History ,31.2988891601562,121.499168395996
Qian Mansu,Harvard University,China ,Literature,42.3734741210938,-71.1179580688477
Qian Jun,Peking University ,China ,Linguistics ,39.9897232055664,116.305274963379
Qian Cheng-Dan,Nanjing University,China ,European History,32.0561103820801,118.775001525879
Qiao Jiyan,,China ,Chinese History ,,
Qin Linzheng,Chinese Academy of Social Sciences,China ,,34.0215530395508,-118.283737182617
,,,,,
Qin Wenting,Harvard University,China ,Political Science ,42.3734741210938,-71.1179580688477
Qiu Zeqi,Peking University ,China ,Sociology ,39.9897232055664,116.305274963379
Qiu Lian-Zhong,Fudan University,China ,Economics ,31.2988891601562,121.499168395996
Qu  Hongmei,Jilin University,China ,Greek Ethics,43.8378410339355,126.549438476562
Quah Siew Tien Jon,National University of Singapore,Singapore ,Public Administration ,1.29555594921112,103.776664733887
Quah Stella R.,National University of Singapore,Singapore ,Sociology ,1.29555594921112,103.776664733887
Quan Mai Binh,Vietnam National University-Hanoi ,Vietnam ,Library Science,16.1676921844482,107.839050292969
Ratanawaraha Apiwat,Chulalongkorn University,Thailand,Urban Studies,32.8453598022461,-96.796989440918
Ren Yixiong,Peking University ,China ,Political Science ,39.9897232055664,116.305274963379
Ren Wei,Harvard University,China ,Art History ,42.3734741210938,-71.1179580688477
Rho Kyung Hee,Kyoto University,Japan ,Comparative Literature,35.0262107849121,135.780838012695
Ro Myoung-Ho,Seoul National University ,Korea ,Korean History,37.4599990844727,126.949996948242
Roberts Claire,Australian National University,Australia ,Art History ,-35.2778091430664,149.126434326172
Ru Xin,Chinese Academy of Social Sciences,China ,Philosophy,34.0215530395508,-118.283737182617
Ruan Wei,,China ,,,
Ryu Honglim,Seoul National University ,Korea ,Political Science ,37.4599990844727,126.949996948242
Ryu Paul Ki-chun,Seoul National University ,Korea ,Criminal Law,37.4599990844727,126.949996948242
Sa Jean Sill,Seoul National University ,Korea ,Korean Literature and Theatre,37.4599990844727,126.949996948242
Sachsenmaier Dominic,,Germany ,,,
Sadamura Koto,University of Tokyo ,Japan ,Art History ,35.7133331298828,139.762222290039
Saeki Tomi,Kyoto University,Japan ,Chinese History ,35.0262107849121,135.780838012695
Saguchi Toru,Setsunan University ,Japan ,History ,32.8453598022461,-96.796989440918
Sakamoto Takao,Gakushuin University,Japan ,Law ,32.8453598022461,-96.796989440918
Sang Hsiu-yun,Academia Sinica ,Taiwan,Chinese Ethnology ,40.5150184631348,20.8693809509277
Sapitula Manuel Victor,National University of Singapore,Singapore ,Sociology ,1.29555594921112,103.776664733887
Sasaki Tetsuro,Tohoku University ,Japan ,Sociology ,38.9000015258789,140.682998657227
Sasaki Masaharu,Hiroshima University,Japan ,Education ,34.3790397644043,132.469787597656
Satitniramai Apichat,University of Wales - Swansea,Thailand,Economics ,51.62785,-3.94089
Sato Fumika,Hitotsubashi University ,Japan ,Gender Studies,32.8453598022461,-96.796989440918
Sato Yoshio,Keio University ,Japan ,Business,35.6491661071777,139.742782592773
Sato Masayuki,National Taiwan University,Taiwan,Philosophy,23.7489929199219,120.971282958984
Sato Koji,Kyoto University,Japan ,Constitutional Law,35.0262107849121,135.780838012695
Sawada Nobushige,Keio University ,Japan ,Philosophy,35.6491661071777,139.742782592773
Sechiyama Satoshi,Kyoto University,Japan ,Economics ,35.0262107849121,135.780838012695
Sechiyama Kaku,University of Tokyo ,Japan ,Sociology ,35.7133331298828,139.762222290039
Seo Fumiko,Kyoto University,Japan ,Economics ,35.0262107849121,135.780838012695
Seo Tatsuhiko,Tsukuba University,Japan ,Chinese History ,36.0349006652832,140.080154418945
Seo Okja,Kyoto University,Japan ,Anthropology,35.0262107849121,135.780838012695
Shan Te-hsing,Academia Sinica ,Taiwan,Comparative Literature,40.5150184631348,20.8693809509277
Shang Hui,,China ,,,
Shao Di,Harvard University,China ,Anthropology,42.3734741210938,-71.1179580688477
Sharma Nirmola,University of Delhi ,India ,History ,28.6429653167725,77.1158828735352
Shea Jia-dong,Academia Sinica ,Taiwan,Economics ,40.5150184631348,20.8693809509277
Shen Yifei,Fudan University,China ,Sociology ,31.2988891601562,121.499168395996
Shen Yuan,Fudan University,China ,Linguistics ,31.2988891601562,121.499168395996
Shen Huihui,Chinese Academy of Social Sciences,China ,English Literature,34.0215530395508,-118.283737182617
Shen Hui,Nanjing University,China ,Social Work,32.0561103820801,118.775001525879
Shen Mingming,Peking University ,China ,Political Science ,39.9897232055664,116.305274963379
Shen Weirong,,China ,Tibetan Studies ,,
Shen Yang,,China ,Linguistics ,,
,,,,,
Sheng Ning,,China ,,,
Sheng Ning,Nanjing University,China ,Comparative Literature,32.0561103820801,118.775001525879
Shi Yifei (Faye),Harvard University,China ,Intellectual History,42.3734741210938,-71.1179580688477
Shi Hexing,Peking University ,China ,Political Science ,39.9897232055664,116.305274963379
Shi Lin,Minzu University of China,China ,Ethnology ,36.5631141662598,103.735809326172
Shi Ying-hong,Nanjing University,China ,History ,32.0561103820801,118.775001525879
Shi Weimin,Chinese Academy of Social Sciences,China ,History ,34.0215530395508,-118.283737182617
Shi Zhonglian,,,Philosophy,,
Shi Bin,Nanjing University,China ,International Relations ,32.0561103820801,118.775001525879
Shiba Shoji,Tsukuba University,Japan ,Economics ,36.0349006652832,140.080154418945
Shibanuma Takeshi,Waseda University ,Japan ,Economics ,35.7092018127441,139.719329833984
Shibata Toshihiko,University of Tokyo ,Japan ,English Literature,35.7133331298828,139.762222290039
Shida Taisei,Kyoto University,Japan ,Indian Philosophy ,35.0262107849121,135.780838012695
Shih Jun-ji,Academia Sinica ,Taiwan,Economics ,40.5150184631348,20.8693809509277
Shima Mutsuhiko,Hiroshima University,Japan ,Anthropology,34.3790397644043,132.469787597656
Shimizu Mamoru,English Language Education Council,Japan ,English Philology ,41.8663711547852,14.7456703186035
Shimizu Hiromu,University of Tokyo ,Japan ,Social Anthropology ,35.7133331298828,139.762222290039
Shimizu Yasuhisa,Kyushu University ,Japan ,Japanese Political Thought,33.6278381347656,130.422973632812
Shimotani Masahiro,Kyoto University,Japan ,Economics ,35.0262107849121,135.780838012695
Shimotani Masahiro,,,Economics ,,
Shin Yong-Ha,Seoul National University ,Korea ,Sociology ,37.4599990844727,126.949996948242
Shin Kyung-Sook,Yonsei University ,Korea ,Literature,32.8453598022461,-96.796989440918
Shin Sang-Sook,Seoul National University ,Korea ,Social Development and Policy Research,37.4599990844727,126.949996948242
Shin Yong-Ha,Seoul National University ,Korea ,Sociology ,37.4599990844727,126.949996948242
Shin Dong-wook,Yonsei University ,Korea ,Korean Literature ,32.8453598022461,-96.796989440918
Shin Dong-wook,Yonsei University ,Korea ,Korean Literature ,32.8453598022461,-96.796989440918
Shinozaki Akihiko,Kyushu University ,Japan ,Economics ,33.6278381347656,130.422973632812
Shiroyama Tomoko,Hitotsubashi University ,Japan ,Economic History,32.8453598022461,-96.796989440918
Shu Min,Waseda University ,Japan ,Political Economy,35.7092018127441,139.719329833984
Siampukdee Usamard,University of Leeds,,Political Science ,53.807430267334,-1.55225598812103
Sih Julia,Chinese Academy of Social Sciences,China ,Russian Literature,34.0215530395508,-118.283737182617
Singh Upinder,University of Delhi ,India ,History ,28.6429653167725,77.1158828735352
Sirasoontorn Puree,Australian National University,Thailand,Economics ,-35.2778091430664,149.126434326172
Siriphon Aranya,Chiang Mai University,Thailand,Anthropology,18.7670001983643,99.0261611938477
Siu Joseph Kam-wah,Chinese University of Hong Kong ,Hong Kong ,History ,22.2841663360596,114.13777923584
Sivaraksa Sulak,,,,,
So Kee Long (Billy),Chinese University of Hong Kong ,Hong Kong ,History ,22.2841663360596,114.13777923584
So Jenny,Chinese University of Hong Kong ,Hong Kong ,Art History ,22.2841663360596,114.13777923584
Sohn Hyang-Sook,Kyungpook National University ,Korea ,Linguistics ,32.9052963256836,-117.243560791016
Song Jae-Young,Yonsei University ,Korea ,Linguistics ,32.8453598022461,-96.796989440918
Song Ki-Ho,Seoul National University ,Korea ,Korean History,37.4599990844727,126.949996948242
Song Changki,,Korea ,,,
Song June-ho,Chonbuk National University ,Korea ,Korean History,35.7442817687988,127.166305541992
Song Fengxiang,Peking University ,China ,Sociology ,39.9897232055664,116.305274963379
Song Yaoliang,East China Normal University,China ,Archaeology ,42.7576217651367,-82.4837265014648
Song Chun Eung,,Korea ,,,
Song Bin,Nankai University ,China ,Philosophy,39.1381492614746,117.150108337402
Song Jijie,Tsinghua University ,China ,Philosophy,40,116.326667785645
Song Ping,Xiamen University ,China ,Anthropology,24.4795093536377,118.089477539062
Song In Hee,Ewha Womans University,Korea ,Art History ,32.8453598022461,-96.796989440918
,,,,,
Sonoda Hidehiro,Kyoto University,Japan ,Comparative Historical Sociology,35.0262107849121,135.780838012695
Sthapitanonda Parichart,Chulalongkorn University,Thailand,Political Science ,32.8453598022461,-96.796989440918
Su Faxiang,Minzu University of China,China ,Ethnology ,36.5631141662598,103.735809326172
Subba Bhim,University of Delhi ,India ,Chinese Studies,28.6429653167725,77.1158828735352
Suen Wing Chuen,University of Hong Kong ,Hong Kong ,Economics ,22.2841663360596,114.13777923584
Suga Yutaka,University of Tokyo ,Japan ,Cultural Studies,35.7133331298828,139.762222290039
Suga Yasuo,Kyoto University,Japan ,English Drama ,35.0262107849121,135.780838012695
Sugiura Noriyuki,Keio University ,Japan ,Geography ,35.6491661071777,139.742782592773
Sugiyama Masahiro,Sugiyama Jogakuen University,Japan ,Education ,32.8453598022461,-96.796989440918
Sugiyama Masaaki,Kyoto University,Japan ,History ,35.0262107849121,135.780838012695
Suh Chung-taik,Chonbuk National University ,Korea ,English Literature,35.7442817687988,127.166305541992
Suh Ji-moon,Korea University,Korea ,English Literature,36.4511566162109,127.861145019531
Suh Chung-mok,Sogang University ,Korea ,Korean Linguistics,37.5496406555176,126.924858093262
Sui Jun,Fudan University,China ,Chinese Ancient Literature,31.2988891601562,121.499168395996
Sun Seung-hye,University of Tokyo ,Japan ,Aesthetics,35.7133331298828,139.762222290039
Sun Zhongxin,Fudan University,China ,Sociology ,31.2988891601562,121.499168395996
Sun Weiguo,Nankai University ,China ,History ,39.1381492614746,117.150108337402
Sun Huei-Min,Academia Sinica ,Taiwan,History ,40.5150184631348,20.8693809509277
Sun Jinghao,Zhejiang University ,China ,History ,30.2636108398438,120.120826721191
Sun Peidong,Fudan University,China ,History ,31.2988891601562,121.499168395996
Sun Naixiu,,China ,,,
Sun Zhenbin,,China ,,,
Sun Kuo-tung,Chinese University of Hong Kong ,Hong Kong ,Chinese History ,22.2841663360596,114.13777923584
Sun Hui-wen,National Taiwan University,Taiwan,History ,23.7489929199219,120.971282958984
Sun Tieh-kang,National Chengchi University,Taiwan,History ,46.9460830688477,7.43722105026245
Sun Dora Chia-xiu,Central Academy of Drama,China ,Theatre Arts,29.6552772521973,-81.6405563354492
Sun Xiaoxia,Zhejiang University ,China ,Law ,30.2636108398438,120.120826721191
Sun Jie,Harvard University,China ,Literature,42.3734741210938,-71.1179580688477
Sun Chengjuan,Harvard University,China ,Chinese Literature,42.3734741210938,-71.1179580688477
Sung Kuochen,,,,,
Sung Jae Ho,,,Law ,,
Sung Wen-Hsun,National Taiwan University,Taiwan,Archaeology ,23.7489929199219,120.971282958984
Sung Su-Ping,National Taiwan University,Taiwan,Comparative Literature,23.7489929199219,120.971282958984
Sung Yun-wing,Chinese University of Hong Kong ,Hong Kong ,Economics ,22.2841663360596,114.13777923584
Sung Jaewhan,,Korea ,Economics ,,
Sung Wen-Ching,Harvard University,Taiwan,Anthropology,42.3734741210938,-71.1179580688477
Surh Usoc,Seoul National University ,Korea ,Musicology,37.4599990844727,126.949996948242
Suriyawongpaisal Sirimonporn (Saowalak),Harvard University,Thailand,Japanese Literature ,42.3734741210938,-71.1179580688477
Suzuki Kenzo,Tokyo Metropolitan University ,Japan ,English Literature,35.6899261474609,139.691757202148
Suzuki Hirohisa,University of Tokyo ,Japan ,Social Psychology ,35.7133331298828,139.762222290039
Suzuki Shigeo,Nagoya University ,Japan ,English Literature,35.1506500244141,136.919036865234
Suzuki Jukichi,Rissho University,Japan ,American Literature ,32.8453598022461,-96.796989440918
Tagore Saranindra Nath,National University of Singapore,Singapore ,Philosophy,1.29555594921112,103.776664733887
Taguchi Yoshihiro,Doshisha University ,Japan ,Economics ,32.8453598022461,-96.796989440918
Tai Li-Chuan,Academia Sinica ,Taiwan,History ,40.5150184631348,20.8693809509277
Takahashi Hidenao,Kyoto University,Japan ,History ,35.0262107849121,135.780838012695
Takahashi Hiroyuki,Kyoto University,Japan ,Classics,35.0262107849121,135.780838012695
Takahashi Yu,Doshisha University ,Japan ,International Law ,32.8453598022461,-96.796989440918
Takakuwa Yasuo,Sophia University ,Japan ,Education ,35.8216705322266,-79.8569793701172
Takashima Atsuko,Aoyama Gakuin University,Japan ,,35.6720008850098,139.723007202148
,,,,,
Takeno Hideki,Kyushu University ,Japan ,Economics ,33.6278381347656,130.422973632812
Takeshi Negishi,Keio University ,Japan ,Political Science ,35.6491661071777,139.742782592773
Takigawa Tetsuo,Hokkaido University ,Japan ,Psychology,43.5393257141113,142.437515258789
Takizawa Masahiko,Hitotsubashi University ,Japan ,English Literature,32.8453598022461,-96.796989440918
Tamai Kiyoshi,Keio University ,Japan ,Political Science ,35.6491661071777,139.742782592773
Tamai Kensuke,Universidade de San Paulo ,Brazil,Japanese Literature ,-23.5594444274902,-46.7238883972168
Tamaruya Masayuki,Rikkyo University ,Japan ,Law ,32.8453598022461,-96.796989440918
